phi,theta
0,0
0,0
-0.18044,0.19103
-0.35275,0.39212
-0.4717,0.55601
-0.57031,0.71102
-0.65565,0.86163
-0.73134,1.0096
-0.79964,1.1557
-0.86212,1.3004
-0.91993,1.4439
-0.97396,1.5866
-1.0249,1.7284
-1.0733,1.8695
-1.1196,2.0099
-1.1641,2.1497
-1.2073,2.2888
-1.2494,2.4274
-1.2905,2.5655
-1.331,2.703
-1.3708,2.84
-1.4104,2.9766
-1.4496,3.1127
-1.4887,3.2484
-1.5277,3.3837
-1.5668,3.5186
-1.6,3.6531
-1.6,3.7873
-1.6,3.9212
-1.6,4.0547
-1.6,4.1878
-1.6,4.3207
-1.6,4.4533
-1.6,4.5855
-1.6,4.7175
-1.6,4.8492
-1.6,4.9805
-1.6,5.1116
-1.6,5.2424
-1.6,5.373
-1.6,5.5033
-1.6,5.6333
-1.6,5.763
-1.6,5.8925
-1.6,6.0217
-1.6,6.1507
-1.6,6.2794
-1.6,6.4079
-1.6,6.5361
-1.6,6.6641
-1.6,6.7919
-1.6,6.9194
-1.6,7.0467
-1.6,7.1738
-1.6,7.3006
-1.6,7.4272
-1.6,7.5536
-1.6,7.6797
-1.6,7.8056
-1.6,7.9313
-1.6,8.0568
-1.6,8.182
-1.6,8.3071
-1.6,8.4319
-1.6,8.5565
-1.6,8.6809
-1.6,8.8051
-1.6,8.929
-1.6,9.0528
-1.6,9.1763
-1.6,9.2997
-1.6,9.4228
-1.6,9.5457
-1.6,9.6684
-1.6,9.7909
-1.6,9.9132
-1.6,10.035
-1.6,10.157
-1.6,10.279
-1.6,10.4
-1.6,10.522
-1.6,10.643
-1.6,10.764
-1.6,10.884
-1.6,11.005
-1.6,11.125
-1.6,11.245
-1.6,11.365
-1.6,11.485
-1.6,11.604
-1.6,11.724
-1.6,11.843
-1.6,11.962
-1.6,12.08
-1.6,12.199
-1.6,12.317
-1.6,12.435
-1.6,12.553
-1.6,12.671
-1.6,12.789
-1.6,12.906
-1.6,13.023
-1.6,13.14
-1.6,13.257
-1.6,13.374
-1.6,13.49
-1.6,13.607
-1.6,13.723
-1.6,13.839
-1.6,13.955
-1.6,14.07
-1.6,14.185
-1.6,14.301
-1.6,14.416
-1.6,14.531
-1.6,14.645
-1.6,14.76
-1.6,14.874
-1.6,14.988
-1.6,15.102
-1.6,15.216
-1.6,15.329
-1.6,15.443
-1.6,15.556
-1.6,15.669
-1.6,15.782
-1.6,15.895
-1.6,16.007
-1.6,16.12
-1.6,16.232
-1.6,16.344
-1.6,16.456
-1.6,16.567
-1.6,16.679
-1.6,16.79
-1.6,16.901
-1.6,17.012
-1.6,17.123
-1.6,17.234
-1.6,17.344
-1.6,17.454
-1.6,17.564
-1.6,17.674
-1.6,17.784
-1.6,17.894
-1.6,18.003
-1.6,18.112
-1.6,18.221
-1.6,18.33
-1.6,18.439
-1.6,18.548
-1.6,18.656
-1.6,18.764
-1.6,18.872
-1.6,18.98
-1.6,19.088
-1.6,19.196
-1.6,19.303
-1.6,19.41
-1.6,19.517
-1.6,19.624
-1.6,19.731
-1.6,19.838
-1.6,19.944
-1.6,20.05
-1.6,20.156
-1.6,20.262
-1.6,20.368
-1.6,20.474
-1.6,20.579
-1.6,20.684
-1.6,20.789
-1.6,20.894
-1.6,20.999
-1.6,21.104
-1.6,21.208
-1.6,21.312
-1.6,21.417
-1.6,21.521
-1.6,21.624
-1.6,21.728
-1.6,21.831
-1.6,21.935
-1.6,22.038
-1.6,22.141
-1.6,22.244
-1.6,22.346
-1.6,22.449
-1.6,22.551
-1.6,22.653
-1.6,22.755
-1.6,22.857
-1.6,22.959
-1.6,23.06
-1.6,23.162
-1.6,23.263
-1.6,23.364
-1.6,23.465
-1.6,23.565
-1.6,23.666
-1.6,23.766
-1.6,23.867
-1.6,23.967
-1.6,24.067
-1.6,24.166
-1.6,24.266
-1.6,24.365
-1.6,24.465
-1.6,24.564
-1.6,24.663
-1.6,24.761
-1.6,24.86
-1.6,24.959
-1.6,25.057
-1.6,25.155
-1.6,25.253
-1.6,25.351
-1.6,25.448
-1.6,25.546
-1.6,25.643
-1.6,25.74
-1.6,25.837
-1.6,25.934
-1.6,26.031
-1.6,26.128
-1.6,26.224
-1.6,26.32
-1.6,26.416
-1.6,26.512
-1.6,26.608
-1.6,26.703
-1.6,26.799
-1.6,26.894
-1.6,26.989
-1.6,27.084
-1.6,27.179
-1.6,27.273
-1.6,27.368
-1.6,27.462
-1.6,27.556
-1.6,27.65
-1.6,27.744
-1.6,27.838
-1.6,27.931
-1.6,28.025
-1.6,28.118
-1.6,28.211
-1.6,28.304
-1.6,28.396
-1.6,28.489
-1.6,28.581
-1.6,28.673
-1.6,28.765
-1.6,28.857
-1.6,28.949
-1.6,29.04
-1.6,29.132
-1.6,29.223
-1.6,29.314
-1.6,29.405
-1.6,29.496
-1.6,29.586
-1.6,29.677
-1.6,29.767
-1.6,29.857
-1.6,29.947
-1.6,30.037
-1.6,30.127
-1.6,30.216
-1.6,30.305
-1.6,30.394
-1.6,30.483
-1.6,30.572
-1.6,30.661
-1.6,30.749
-1.6,30.838
-1.6,30.926
-1.6,31.014
-1.6,31.101
-1.6,31.189
-1.6,31.277
-1.6,31.364
-1.6,31.451
-1.6,31.538
-1.6,31.625
-1.6,31.712
-1.6,31.798
-1.6,31.884
-1.6,31.971
-1.6,32.057
-1.6,32.142
-1.6,32.228
-1.6,32.314
-1.6,32.399
-1.6,32.484
-1.6,32.569
-1.6,32.654
-1.6,32.739
-1.6,32.823
-1.6,32.908
-1.6,32.992
